INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (getCarAvailability) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadHotelsRSS) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadGastrosRSSCallback) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (StartRSSLoadingEvents) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadPoiRSSCallback) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoading) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoadingRouten) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetVEPinDataByLatLon) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetCustomRoutingCallback) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadGastrosRSS) From WSDL (http://maps.ostbayern-tourismus.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (searchForFlight) Matched (getBookings) From WSDL (http://www.e-travelsolution.com/xml/xmlservice1-2.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (searchForFlight) Matched (Tours) From WSDL (http://www.e-travelsolution.com/xml/xmlservice1-2.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadHotelsRSS) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadGastrosRSSCallback) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (StartRSSLoadingEvents) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadPoiRSSCallback) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoading) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoadingRouten) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetVEPinDataByLatLon) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetCustomRoutingCallback) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadGastrosRSS) From WSDL (http://maps.tourismus-landkreis-kelheim.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ParagraphType) From WSDL (http://cert.synxis.com/interface/ChannelConnect.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (Address) From WSDL (http://cert.synxis.com/interface/ChannelConnect.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ParagraphType) From WSDL (http://cert.synxis.com/interface/ota2004aservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (Address) From WSDL (http://cert.synxis.com/interface/ota2004aservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (SearchPax) From WSDL (http://xml.majesticusa.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Logging initialized.
INFO main org.algorithm.impl.WSDLParser3 - Log4JExample - leaving the constructor ...
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GetDestinationsByDynamicPackageType) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GetDestinationsByHotDeal) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GetOriginsByDynamicPackageType) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GetOriginsByHotDeal) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetHotelRemoteSourcesByDestination) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (sr_fhta_user_fields) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (POISupportedByDestination) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetDateOffsets) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetHotelsByDestination) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetDynamicPackagesBySourceCode) From WSDL (http://vacationbookings.airnewzealand.ca/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadHotelsRSS) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadGastrosRSSCallback) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (StartRSSLoadingEvents) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadPoiRSSCallback) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoading) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoadingRouten) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetVEPinDataByLatLon) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetCustomRoutingCallback) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadGastrosRSS) From WSDL (http://maps.bayerischer-wald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (ContactPassengerType) From WSDL (http://demo.touricoholidays.com/ws/AmendmentServices.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (RequestPriceForStandardAllocation) From WSDL (http://www.railtour.ch/booking/GenvasService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetFlightData) From WSDL (http://webservices.flightexplorer.com/FastTrack.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetFlightDataEx) From WSDL (http://webservices.flightexplorer.com/FastTrack.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetCodeShareFlightData) From WSDL (http://webservices.flightexplorer.com/FastTrack.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (GetPaquetesPorCatalogo) From WSDL (http://www.destinalia.es/SWPub/Buscador.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetFechas) From WSDL (http://www.destinalia.es/SWPub/Buscador.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetPaquetes) From WSDL (http://www.destinalia.es/SWPub/Buscador.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (RFFormSettings) From WSDL (http://roomfinder.aparti.ru/RoomFinder.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (Service) From WSDL (http://roomfinder.aparti.ru/RoomFinder.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (ImageInformation) From WSDL (http://roomfinder.aparti.ru/RoomFinder.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (GetSPOPageByKey) From WSDL (http://online.inna.ru:83/Service.asmx?WSDL		
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GetDestinationsByDynamicPackageType) From WSDL (http://holidaybookings.airnewzealand.co.uk/vaxinfo/vaxinfo.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GetDestinationsByHotDeal) From WSDL (http://holidaybookings.airnewzealand.co.uk/vaxinfo/vaxinfo.asmx?WSDL
